IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK ,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,"In terms of social and cultural issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology","In terms of economic issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology",generalSJ,racialSJ,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_attitudes,prisonsystem_attitudes,courtprisonsystem_attitdues,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0s,"If you had to sentence the individual being charged in this case, what would your verdict be?",verdict_POST,confidence_notguilty_POST,confidence_verdict_POST,confidenceinverdict_POST,penalty_continuous_POST,peNAlty_continuous_POST_NA,pe0lty_continuous_POST_0s,What socioeconomic class do you estimate the defendant in this case falls into?,impression_defendant_SES,What income bracket do you estimate the defendant in this case falls into?,impression_defendant_income,What is the highest level of education that you estimate the defendant in this case has?,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive,Did the defendant in this case have an accent?,Which of the following best describes the accent the defendant had?,Please make your best guess as to which part of the United States the defendant in this case is from.,Because of today's PC (politically correct) standards I try to not appear racially prejudiced toward Black people.,I try to hide any racially prejudiced thoughts in order to avoid negative reactions from others.,I attempt to not appear racially prejudiced in order to avoid disapproval from others.,IMS,I attempt to not act in racially prejudiced ways because it is personally important to me.,I am personally motivated by my beliefs to not be racially prejudiced,"Because of my personal values, I believe that using racial stereotypes is wrong.",EMS ,"Because this study involved deception, as explained above, you have the right to withdraw consent to use the data we collected from you. If you give your consent, we will be able to use your data. If you do not give your consent, we will not be allowed to use your data and will have to destroy it. So please SELECT ONE:",Do you feel that you have been adequately debriefed about the nature of this study?,PROLIFIC_PID,con
47.17.229.64,1294,44,0,0,1,0,3,Democrat,3,2,3,NA,NA,2,3,3,2,2,2,2,1,1,2,2.5,1.5,2.5,1.5,2,2,7,7,white_written,0,5 years,5,1,3,,3,3,3,Not Guilty,0,,1,1,3 years,3,3,Middle class,3,"$31,000-$60,000",2,Master's degree,4,2,4,4,4,6,4,6,6,Midwest,,,1,1,1,1,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5e837e917441520b9c662931,-1
172.58.125.148,825,44,0,1,1,0,5,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,4.75,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,white_written,0,3 years,3,0,,5,5,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,6,6,4,6,4,3,5,1,Midwest,,,5,5,5,5,5,4,5,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66e4df56a42d1904ee9e71e1,-1
62.164.251.63,812,30,1,1,1,0,5,Independent,4,4,4,4.375,3.25,3,3,3,3,3,5,4,4,4,4,3,4,3.5,3.5,3.5,3.6,7,7,white_written,0,2 years,2,0,,5,5,2,2,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower middle class,2,"$0-$30,000",1,Bachelor's degree,3,4,6,3,5,4,5,4,5,South,,,6,4,4,4.666666667,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66c2382c6e08f5c40d267214,-1
69.10.118.78,1777,32,0,0,0,1,4,Republican,4,4,4,1.75,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.1,6,7,white_written,0,1 year,1,1,5,,5,2,2,Not Guilty,0,,7,7,"I selected ""not guilty""",NA,0,Lower middle class,2,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,5,5,4,4,5,5,5,5,Midwest,,,7,5,6,6,6,7,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66a4218b05469edac26af9dc,-1
100.37.173.3,945,58,0,1,1,0,4,Independent,4,4,4,3.875,4.125,3,3,2,2,2,3,3,3,2,2,2.5,2.5,3,2,2.5,2.5,6,6,white_written,0,1 year,1,0,,3,3,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,3,5,1,1,3,3,1,1,Northeast,,,5,5,4,4.666666667,5,5,5,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",668ecef53be35481cd208d99,-1
96.32.214.53,863,38,1,0,0,1,2,Independent,4,4,4,1.75,3.125,4,1,4,1,2,4,1,4,1,2,1,1,1,1,1,2.4,4,1,white_written,0,less than 1 year,0,0,,1,1,NA,0,Not Guilty,0,,1,1,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,3,4,4,5,4,5,5,Northeast,,,1,1,1,1,1,1,1,1,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5cfe3ec7591d170019447590,-1
74.69.180.80,693,33,0,1,1,0,5,Independent,5,5,5,3.5,4.375,2,3,2,3,2,2,3,2,3,2,3,3,3,3,3,2.4,5,5,white_written,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,4,4,2,3,4,4,5,5,Northeast,,,6,6,6,6,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",669c14c5463407058421c908,-1
107.116.180.55,1022,50,0,1,1,0,5,Democrat,2,2,3,2.625,2.25,1,2,2,2,1,1,3,2,1,1,2,2,2.5,1.5,2,1.6,7,7,white_written,0,10 years,10,0,,1,1,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,4,5,2,5,4,7,3,5,Midwest,,,1,5,1,2.333333333,7,7,7,7,I give my consent for you to use my data,"NO, I DO NOT feel that I have been adequately debriefed",66b165a1e7a9c51cc955ff65,-1
98.30.81.224,900,46,0,1,1,0,6,Republican,7,6,7 Extremely Conservative/Right-Leaning,3,3.625,2,3,1,3,2,2,2,2,2,2,3,2,2.5,2.5,2.5,2.1,7,7,white_written,0,5 years,5,0,,,,5,5,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,4,4,3,6,5,4,6,5,Northeast,,,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",663591a8f1cc9a084177709c,-1
96.224.230.228,1349,51,0,0,0,1,6,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,1.125,1.875,1,1,1,1,1,1,2,1,1,1,1,1.5,1.5,1,1.25,1.1,3,5,white_written,0,3 years,3,0,,1,1,NA,0,Guilty,1,4,,4,2 years,2,2,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,3,5,3,4,2,5,2,4,Northeast,,,6,1,1,2.666666667,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66e4f899fc1eaa4800b802ba,-1
72.88.86.64,1335,31,0,1,1,0,4,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,2.375,2.75,2,1,2,1,1,3,2,2,1,1,1,1.5,1.5,1,1.25,1.6,7,7,white_written,0,1 year,1,0,,3,3,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,2,2,4,4,5,3,Northeast,,,1,1,1,1,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",664644978e90512d006ed6ec,-1
65.111.214.11,667,37,1,1,1,0,2,Republican,7,4,6,4,4.875,2,2,1,1,2,3,1,1,1,1,1.5,1,1.5,1,1.25,1.5,6,7,white_written,0,less than 1 year,0,0,,6,6,NA,0,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,5,1,2,4,5,3,3,South,,,7,7,7,7,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6159fb27b6340dda3fc6a5c3,-1
99.73.17.248,857,35,1,0,0,1,5,Republican,5,6,6,4.5,4,4,5,2,1,2,3,4,2,3,2,3,3.5,4.5,2,3.25,2.8,7,7,white_written,0,2 years,2,0,,7,7,NA,0,Not Guilty,0,,7,7,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,5,1,3,3,4,3,4,West,,,6,6,1,4.333333333,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66a003dbe52d6932c1559420,-1
69.251.180.241,523,45,0,1,1,0,6,Democrat,3,2,3,3.625,2.75,3,2,2,2,2,3,2,2,3,2,2,2.5,2,2.5,2.25,2.3,6,5,white_written,0,2 years,2,0,,3,3,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,3,4,4,5,5,3,5,5,South,,,4,4,4,4,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5d786510dce93b00182ab480,-1
62.164.254.2,843,25,1,0,0,1,6,Republican,6,6,6,5.25,2.125,5,1,3,1,4,3,1,3,1,3,1,1,1,1,1,2.5,7,7,white_written,0,3 years,3,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,4,4,1,2,1,4,3,2,Midwest,,,1,1,1,1,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66802c541447fb88c409b8fa,-1
24.99.34.45,1057,59,0,0,1,0,5,Democrat,3,3,4,3,2.625,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,white_written,0,1 year,1,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,4,4,6,5,5,5,5,Midwest,,,2,2,2,2,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",647df8490516c702020f7d0f,-1
174.193.117.19,625,56,1,1,1,0,5,Independent,4,4,4,5.125,5,2,2,2,1,2,3,3,3,2,3,1.5,2.5,2.5,1.5,2,2.3,2,6,white_written,0,2 years,2,0,,3,3,5,5,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,4,4,4,4,4,4,4,4,Northeast,,,3,2,2,2.333333333,2,6,5,4.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66288972d0b9059cc9082a4c,-1
97.80.106.50,407,41,0,1,1,0,4,Republican,4,4,4,3.125,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2.2,6,5,white_written,0,2 years,2,1,,,,2,2,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,4,4,4,3,4,4,5,5,Midwest,,,7,4,6,5.666666667,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",662687fc152ffe3df23453e4,-1
71.82.216.49,567,33,1,1,1,0,3,Republican,5,5,6,4.25,5.25,1,2,3,2,1,3,2,3,2,2,2,2,2,2,2,2.1,7,7,white_written,0,5 years,5,0,,5,5,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,5,5,3,3,5,5,5,3,Midwest,,,5,6,1,4,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",63e5334264ff5103fda84884,-1
172.58.255.85,2154,32,1,0,0,1,6,Democrat,7,6,5,5.625,5.375,5,3,4,4,4,2,2,3,1,3,3.5,1.5,2.5,2.5,2.5,3.1,6,7,white_written,0,3 years,3,1,5,,5,4,4,Guilty,1,5,,5,2 years,2,2,Upper middle class,4,"$91,000-$120,000",4,PhD or higher,5,4,6,2,4,6,5,5,5,Midwest,,,6,5,5,5.333333333,3,7,5,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6634a4a2ee453837b1b0677c,-1
174.194.3.7,725,42,1,1,1,0,3,Republican,5,5,4,3.875,5.125,4,3,2,4,3,2,3,2,3,3,3.5,3,3,3.5,3.25,2.9,4,4,white_written,0,2 years,2,0,,5,5,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,5,2,5,3,7,4,5,Northeast,,,6,4,5,5,6,6,6,6,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66c2017235060433c005091f,-1
45.196.41.13,396,29,1,0,0,1,4,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,4.625,4,4,5,4,4,4,5,4,5,3,5,4.5,3.5,4.5,3.5,4,4.3,7,6,white_written,0,less than 1 year,0,0,,6,6,NA,0,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Lower middle class,2,"$0-$30,000",1,Bachelor's degree,3,7,6,2,2,7,7,7,7,West,,,3,3,3,3,3,3,7,4.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",664db959e4b41a8282935539,-1
172.58.242.243,673,54,0,1,1,0,6,Democrat,2,2,2,4,3.125,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1.9,7,6,white_written,0,2 years,2,0,,3,3,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,3,5,4,3,5,4,Midwest,,,5,6,5,5.333333333,6,7,7,6.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",650da97f0e8d1e74d590dc2e,-1
67.255.234.217,639,38,1,1,1,0,4,Independent,4,4,5,3.875,3.75,2,1,2,1,2,1,2,1,2,1,1,2,1.5,1.5,1.5,1.5,5,5,white_written,0,3 years,3,0,,2,2,3,3,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,5,1,2,2,5,3,3,South,,,6,5,4,5,6,5,5,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",611343cebd1f50c6a0eaaf8c,-1
72.130.49.185,481,32,0,0,1,0,2,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,2.75,3.125,1,2,1,1,1,1,2,1,1,1,1.5,1.5,2,1,1.5,1.2,7,1,white_written,0,5 years,5,1,5,,5,3,3,Guilty,1,4,,4,2 years,2,2,Middle class,3,"$61,000-$90,000",3,Bachelor's degree,3,3,3,4,5,4,3,5,4,Midwest,,,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",62f6e81d42e7c4dea045f2fc,-1
174.224.173.213,641,37,0,1,1,0,5,Independent,3,2,5,3,2.875,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2.2,6,6,white_written,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,2,2,"I selected ""not guilty""",NA,0,Middle class,3,"$91,000-$120,000",4,Bachelor's degree,3,2,1,1,6,5,2,5,7,South,,,7,7,7,7,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d70857489b5a7ae186002f,-1
72.179.15.101,814,50,0,1,1,0,3,Republican,5,6,6,3,3.75,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1.2,5,7,white_written,0,less than 1 year,0,0,,4,4,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Lower middle class,2,"$61,000-$90,000",3,Bachelor's degree,3,6,6,1,1,2,6,2,3,Midwest,,,6,1,1,2.666666667,4,5,6,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6658c8b39f61b7a787ee6068,-1
195.252.198.101,626,46,0,NA,NA,NA,6,Independent,4,4,5,2.5,3.5,1,3,3,1,1,1,3,3,3,1,2,3,3,2,2.5,2,7,7,white_written,0,4 years,4,0,,5,5,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,Bachelor's degree,3,4,5,1,5,1,5,1,1,Midwest,,,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66bce9c6697172946d3ec031,-1
104.137.124.46,494,58,0,1,1,0,6,Independent,4,3,5,5.5,5.5,5,5,5,4,5,5,4,5,4,3,4.5,4,4.5,4,4.25,4.5,7,7,white_written,0,1 year,1,0,,3,3,NA,0,Guilty,1,5,,5,2 years,2,2,Middle class,3,"$61,000-$90,000",3,"High school graduate or equivalent (e.g., GED)",2,6,6,4,6,5,6,6,7,South,,,5,5,5,5,6,7,3,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6391a4d41c7025c8ad3d3e18,-1
174.74.0.230,433,49,0,1,1,0,6,Republican,4,3,5,3.5,5.875,2,3,2,3,2,3,2,2,3,3,3,2.5,2.5,3,2.75,2.5,7,7,white_written,0,5 years,5,0,,2,2,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,Bachelor's degree,3,3,3,2,5,3,3,3,4,West,,,5,2,5,4,6,5,5,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5ca62f5c6c03070001147eec,-1
108.51.141.116,606,37,0,1,1,0,6,Democrat,4,3,5,2.125,3,2,2,2,1,2,2,1,1,1,2,1.5,1,1.5,1,1.25,1.6,3,5,white_written,0,4 years,4,1,5,,5,4,4,Guilty,1,5,,5,2 years,2,2,Lower middle class,2,"$61,000-$90,000",3,Bachelor's degree,3,3,4,5,5,5,4,6,5,South,,,5,5,5,5,4,4,5,4.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5d2fb8f7034d7d000164bd18,-1
67.169.212.88,460,45,1,1,1,0,3,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,white_written,0,5 years,5,0,,1,1,NA,0,Not Guilty,0,,1,1,"I selected ""not guilty""",NA,0,Lower class,1,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,3,4,5,5,5,4,5,4,Northeast,,,4,4,4,4,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5dfe329d0108e5ac2ba44807,-1
65.32.245.87,510,52,0,1,1,0,3,Democrat,1,1 Extremely Liberal/Left-Leaning,1 Extremely Liberal/Left-Leaning,2.25,2.625,1,2,2,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.2,7,7,white_written,0,5 years,5,0,,4,4,NA,0,Guilty,1,3,,3,2 years,2,2,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,3,4,5,5,4,5,5,South,,,3,3,3,3,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6500b20399acf445cba1272f,-1
