IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_effectivenessfairness_attitudes,prisonsystem_effectivenessfairness_attitudes,courtprisonsystem_attitdues,allsystem_effectiveness_attitudes,allsystem_fairness_attitudes,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0,verdict_POST,confidence_guilty_POST,confidence_verdict_POST,confidence_verdict_POST,penalty_continuous_POST_NA,penalty_continuous_POST_NA,impression_defendant_SES,impression_defendant_income,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive
73.149.130.111,872,52,1,1,1,0,6,Democrat,1,2,2,2,1,2,2,2,2,1,2,1.5,1.5,2,1,1.5,1.8,1.8,1.8,6,5,black_southern,1,1,0,,4,4,NA,0,0,,6,6,0,NA,2,2,3,4,5,2,4,4,5,2,4
67.176.236.235,476,23,0,1,1,0,6,Other (Please specify): n/a,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1.4,1.2,6,7,black_southern,1,2,0,,2,2,NA,0,0,,2,2,0,NA,2,2,2,4,2,1,1,5,5,4,3
173.75.209.127,677,28,0,0,0,1,6,Democrat,1,2,2,2,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1,1.3,7,7,black_southern,1,2,0,,4,4,NA,0,0,,5,5,0,NA,3,2,3,4,6,1,1,4,6,1,4
67.60.233.78,553,48,0,0,1,0,5,Democrat,3,2,2,2,1,2,2,2,2,2,2,1.5,2,2,1.5,1.75,1.8,2,1.9,5,5,black_southern,1,7,0,,4,4,NA,0,1,5,,5,4,4,3,2,3,3,5,5,4,5,5,5,4
73.207.254.91,633,25,1,1,1,0,3,Independent,1,2,2,3,1,1,2,1,1,1,1,1.5,1,1.5,1,1.25,1.8,1.2,1.5,7,7,black_southern,1,3,0,,4,4,NA,0,0,,3,3,0,NA,1,1,2,4,4,4,6,5,4,5,5
174.245.83.78,971,36,0,1,1,0,5,Independent,5,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2.2,2.2,2.2,3,5,black_southern,1,2,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,4,4,2,3,4,4,3,3
73.76.246.78,327,29,1,0,0,1,5,Independent,3,2,2,4,1,1,1,1,1,1,1,1.5,1,1.5,1,1.25,2,1,1.5,6,6,black_southern,1,2,0,,6,6,NA,0,1,3,,3,2,2,2,2,2,3,3,5,5,2,3,5,5
172.59.32.5,903,51,0,0,0,1,2,Independent,4,2,2,2,1,2,1,1,1,1,1,1.5,1,1.5,1,1.25,1.8,1,1.4,4,7,black_southern,1,0,0,,7,7,NA,0,0,,7,7,0,NA,2,2,2,4,4,1,2,4,7,1,1
172.59.153.3,462,54,1,0,1,0,5,Independent,4,2,3,3,1,2,3,2,2,1,2,2,1.5,2.5,1,1.75,2.2,2,2.1,4,4,black_southern,1,2,0,,4,4,NA,0,0,,4,4,0,NA,2,1,2,4,4,4,4,4,4,4,4
72.82.27.44,545,24,1,1,1,0,2,Independent,2,1,2,3,3,1,1,3,1,2,1,2.5,2.5,2.5,2.5,2.5,2,1.6,1.8,5,3,black_southern,1,3,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,5,4,2,5,3,5,4,5
76.30.64.51,630,51,1,0,1,0,3,Democrat,3,2,2,1,1,2,2,2,1,2,2,1.5,2,2,1.5,1.75,1.6,1.8,1.7,7,5,black_southern,1,10,0,,1,1,10,10,0,,1,1,0,NA,3,2,2,2,4,5,4,4,3,5,5
35.150.24.143,779,44,0,0,0,1,4,Democrat,4,3,2,1,2,3,2,1,1,2,3,2,1.5,1.5,2,1.75,2.2,1.8,2,7,4,black_southern,1,2,0,,4,4,NA,0,0,,5,5,0,NA,2,2,2,4,5,4,4,7,5,4,4
24.24.130.57,998,28,0,1,1,0,4,Democrat,4,3,2,3,2,2,3,2,3,2,1,2,2,2,2,2,2.4,2.2,2.3,6,6,black_southern,1,6,0,,5,5,NA,0,1,4,,4,4,4,2,2,2,4,4,3,4,4,3,4,4
98.24.81.3,406,35,1,1,1,0,5,Democrat,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1.2,7,3,black_southern,1,2,0,,5,5,NA,0,0,,6,6,0,NA,1,1,2,4,5,3,2,3,5,4,4
174.192.200.70,487,35,1,1,1,0,6,Democrat,5,2,2,2,1,2,2,2,1,2,2,1.5,2,2,1.5,1.75,1.8,1.8,1.8,7,7,black_southern,1,0,0,,4,4,NA,0,0,,5,5,0,NA,2,2,2,4,4,3,4,5,4,5,5
174.82.225.183,584,68,0,1,1,0,5,Democrat,1,2,2,2,2,2,1,1,1,3,3,2,2,1.5,2.5,2,2,1.8,1.9,7,6,black_southern,1,1,0,,2,2,2,2,0,,2,2,0,NA,1,1,1,4,4,3,5,4,4,5,4
174.240.66.65,892,48,0,1,1,0,2,Independent,4,3,3,4,2,3,4,3,4,2,3,2.5,2.5,3,2,2.5,3,3.2,3.1,5,5,black_southern,1,5,0,,2,2,2,2,0,,5,5,0,NA,3,2,2,4,5,2,2,4,5,2,2
71.45.168.177,225,25,0,1,1,0,5,Democrat,2,4,4,4,3,4,3,4,4,2,3,3.5,3,4,2.5,3.25,3.8,3.2,3.5,5,6,black_southern,1,1,0,,6,6,NA,0,0,,5,5,0,NA,1,1,2,6,4,4,5,3,4,3,5
74.105.128.135,402,54,0,1,1,0,6,Independent,4,2,3,4,3,2,3,4,4,3,3,3,3.5,3.5,3,3.25,2.8,3.4,3.1,6,6,black_southern,1,1,0,,4,4,NA,0,0,,5,5,0,NA,3,3,3,5,5,3,4,4,4,4,4
108.34.201.192,373,37,0,1,1,0,4,Democrat,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1.2,7,6,black_southern,1,3,0,,5,5,NA,0,0,,5,5,0,NA,2,2,2,4,4,5,5,5,4,6,6
72.176.162.8,526,65,0,1,1,0,2,Republican,4,4,1,1,2,2,4,1,1,1,1,1.5,1,1,1.5,1.25,2,1.6,1.8,6,7,black_southern,1,1,0,,4,4,NA,0,0,,6,6,0,NA,3,1,3,6,7,2,2,2,7,2,2
108.78.148.244,582,37,0,1,1,0,3,Independent,1,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,7,7,black_southern,1,0,0,,5,5,NA,0,0,,6,6,0,NA,3,4,3,6,6,1,1,5,6,1,1
172.59.184.14,1323,52,0,1,1,0,6,Democrat,7,4,2,5,1,3,2,1,1,1,1,1.5,1,1.5,1,1.25,3,1.2,2.1,7,7,black_southern,1,5,0,,3,3,NA,0,0,,3,3,5,5,3,2,2,5,4,1,2,3,4,2,1
24.228.16.107,753,31,1,0,1,0,5,Independent,5,3,4,5,2,3,3,4,4,2,4,3,3,4,2,3,3.4,3.4,3.4,6,7,black_southern,1,7,0,,5,5,NA,0,0,,5,5,0,NA,3,3,3,4,4,2,3,4,5,3,3
174.106.136.30,621,59,0,1,1,0,3,Democrat,6,3,3,2,1,3,2,2,2,2,3,2,2,2.5,1.5,2,2.4,2.2,2.3,7,5,black_southern,1,1,0,,5,5,NA,0,1,4,,4,0,NA,2,1,2,4,4,4,6,4,4,6,5
75.44.32.1,567,63,0,1,1,0,6,Republican,6,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1.4,1.4,1.4,7,6,black_southern,1,4,0,,1,1,NA,0,0,,1,1,0,NA,1,1,2,1,4,4,4,4,4,4,4
199.30.77.34,311,32,1,1,1,0,5,Democrat,1,2,3,3,1,2,1,2,1,1,3,2,1.5,2.5,1,1.75,2.2,1.6,1.9,7,7,black_southern,1,5,0,,3,3,NA,0,0,,5,5,0,NA,2,1,2,4,5,2,3,3,5,4,3
173.196.129.212,300,42,1,1,1,0,6,Independent,4,3,2,2,2,1,2,2,1,1,1,2,1.5,2,1.5,1.75,2,1.4,1.7,7,5,black_southern,1,5,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,4,5,2,3,5,6,3,4
73.204.170.148,798,28,NA,NA,NA,NA,3,Other (Please specify): None,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,black_southern,1,2,0,,4,4,NA,0,0,,3,3,0,NA,3,2,NA,4,4,4,4,4,4,4,4
68.9.231.42,344,32,0,1,1,0,2,Democrat,1,2,2,2,1,3,1,1,1,1,1,1.5,1,1.5,1,1.25,2,1,1.5,7,7,black_southern,1,0,0,,5,5,NA,0,0,,4,4,0,NA,1,2,2,4,5,2,3,1,5,3,3
73.69.129.55,400,43,1,1,1,0,6,Independent,3,3,2,3,3,2,2,1,3,3,3,2.5,2,1.5,3,2.25,2.6,2.4,2.5,3,4,black_southern,1,1,0,,3,3,NA,0,0,,5,5,0,NA,3,2,3,5,5,3,3,4,5,3,2
98.161.21.51,532,37,1,1,1,0,3,Independent,3,3,3,4,1,2,3,3,2,1,1,2,2,3,1,2,2.6,2,2.3,7,6,black_southern,1,3,0,,4,4,NA,0,0,,5,5,0,NA,2,3,3,5,6,1,2,3,6,1,2
99.121.217.20,457,30,1,0,1,0,4,Independent,4,2,2,2,1,3,2,3,2,5,2,1.5,4,2.5,3,2.75,2,2.8,2.4,5,4,black_southern,1,3,0,,4,4,NA,0,0,,7,7,0,NA,3,2,3,5,5,1,1,1,5,3,1
216.93.192.203,450,69,1,1,1,0,5,Independent,4,4,4,5,2,4,4,3,4,2,2,3,2.5,3.5,2,2.75,3.8,3,3.4,7,7,black_southern,1,1,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,6,6,2,3,4,6,5,4
24.98.247.41,287,22,0,0,1,0,5,Democrat,2,2,2,3,2,2,3,2,3,2,1,2,2,2,2,2,2.2,2.2,2.2,6,6,black_southern,1,1,0,,5,5,NA,0,0,,4,4,0,NA,2,2,2,4,5,2,3,5,6,5,3
66.189.204.26,477,62,1,1,1,0,5,Democrat,1,3,2,2,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,2,1.6,1.8,7,6,black_southern,1,3,0,,1,1,NA,0,0,,2,2,0,NA,2,2,3,4,6,2,4,4,5,5,4
174.103.231.84,341,48,0,0,1,0,2,Democrat,2,2,3,3,1,1,4,3,1,1,1,2,2,3,1,2,2,2,2,6,7,black_southern,1,3,0,,5,5,NA,0,1,6,,6,2,2,2,2,2,3,5,1,5,6,6,7,7
67.182.149.196,548,35,0,1,1,0,6,Democrat,1,2,2,3,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.8,1.4,1.6,7,7,black_southern,1,4,0,,1,1,NA,0,0,,1,1,0,NA,3,2,3,4,4,2,3,4,4,3,3
24.148.48.56,320,25,0,1,1,0,5,Republican,3,2,2,2,3,4,3,2,2,2,2,2.5,2,2,2.5,2.25,2.6,2.2,2.4,5,2,black_southern,1,3,0,,3,3,3,3,0,,5,5,2,2,2,2,2,3,3,3,2,3,3,5,2
184.167.109.250,332,30,0,1,1,0,6,Democrat,2,2,2,2,1,1,2,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1.2,1.4,5,4,black_southern,1,2,0,,7,7,NA,0,0,,6,6,0,NA,3,3,3,4,5,2,3,5,6,5,2
24.129.105.161,461,43,1,1,1,0,5,Democrat,2,2,2,3,1,2,2,2,3,1,2,1.5,1.5,2,1,1.5,2,2,2,6,2,black_southern,1,0,0,,2,2,NA,0,0,,3,3,0,NA,4,1,1,3,3,5,5,4,3,5,5
68.96.44.235,339,30,1,0,1,0,5,Independent,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,black_southern,1,5,0,,4,4,NA,0,0,,5,5,0,NA,3,2,3,5,5,2,4,3,5,4,4
104.52.90.70,627,62,1,1,1,0,5,Republican,5,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1.6,1.4,1.5,3,2,black_southern,1,1,0,,6,6,NA,0,1,6,,6,2,2,2,1,2,3,3,5,5,3,4,5,5
35.147.77.7,487,48,1,0,1,0,5,Democrat,4,2,3,4,2,2,2,2,2,2,1,2.5,2,2.5,2,2.25,2.6,1.8,2.2,7,5,black_southern,1,2,0,,2,2,2,2,0,,3,3,2,2,2,2,2,4,5,3,3,2,5,3,5
107.3.42.254,1225,33,0,1,1,0,3,Independent,4,3,3,3,3,2,3,2,2,2,2,3,2,2.5,2.5,2.5,2.8,2.2,2.5,1,1,black_southern,1,1,0,,4,4,NA,0,0,,4,4,0,NA,2,1,2,4,4,4,4,4,4,4,4
50.96.235.139,504,41,1,1,1,0,2,Democrat,3,3,3,4,2,3,3,3,3,2,3,2.5,2.5,3,2,2.5,3,2.8,2.9,7,5,black_southern,1,1,0,,4,4,NA,0,0,,5,5,0,NA,1,1,2,5,5,2,3,4,4,3,3
174.204.8.118,301,31,1,1,1,0,2,Independent,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,black_standard,1,0,0,,4,4,NA,0,0,,7,7,0,NA,3,2,3,4,4,4,4,4,4,4,4
